,HH_ID,F2,Fuel_roster_name,F3,F3_oth,F_4,F_4oth,F_5,F_6,F_7,F_8,F_9,F_10,F_4_text,F_11,F_12,F_13_1,F_13oth,F_14__1,F_14__2,F_14__3,F_14__4,F_14__5,F_14__6,F_14__7,F_14__8,F_14__111
257,1002500361102.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
258,1002500361102.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
259,1002500361102.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
260,1002500361302.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
261,1002500361302.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
262,1002500361302.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
263,1002500361302.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
264,1002500361302.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
265,1002500361503.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
266,1002500361503.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
267,1002500361503.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
268,1002500361503.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
269,1002500361503.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
270,1002500361505.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
271,1002500361505.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
272,1002500361505.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
273,1002500361505.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
274,1002500361505.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
275,1002500361602.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
276,1002500361602.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
277,1002500361602.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
278,1002500361602.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
279,1002500361602.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
280,1003504600102.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
281,1003504600102.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
282,1003504600102.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
283,1003504600102.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
284,1003504600102.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
285,1003504600104.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
286,1003504600104.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
287,1003504600104.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
288,1003504600104.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
289,1003504600104.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
290,1003504600206.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
291,1003504600206.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
