,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KH_a,KH_b,KH_86,KH_87,KH_88
283,01060100317,1,6,1,3,17,1,1,4,1,1.0,,,
284,01060100317,1,6,1,3,17,1,1,5,2,,1.0,2.0,
285,01060100317,1,6,1,3,17,1,1,6,2,,1.0,2.0,
286,01060100317,1,6,1,3,17,1,1,7,1,2.0,,,
287,01060100317,1,6,1,3,17,1,1,8,2,,2.0,2.0,
288,01060100317,1,6,1,3,17,1,1,9,1,15.0,,,
289,01060100317,1,6,1,3,17,1,1,10,2,,1.0,2.0,
290,01060100317,1,6,1,3,17,1,1,11,1,1.0,,,1.0
291,01060100317,1,6,1,3,17,1,1,12,1,1.0,,,1.0
292,01060100317,1,6,1,3,17,1,1,13,1,2.0,,,1.0
293,01060100317,1,6,1,3,17,1,1,14,2,,1.0,2.0,
294,01060100317,1,6,1,3,17,1,1,15,1,3.0,,,1.0
295,01060100317,1,6,1,3,17,1,1,16,1,1.0,,,1.0
296,01060100317,1,6,1,3,17,1,1,17,2,,1.0,2.0,
297,01060100317,1,6,1,3,17,1,1,18,2,,1.0,2.0,
298,01060100317,1,6,1,3,17,1,1,19,1,2.0,,,1.0
299,01060100317,1,6,1,3,17,1,1,20,2,,2.0,2.0,
300,02070101804,2,7,1,18,4,2,1,1,2,,1.0,1.0,
301,02070101804,2,7,1,18,4,2,1,2,2,,1.0,1.0,
302,02070101804,2,7,1,18,4,2,1,3,2,,1.0,1.0,
303,02070101804,2,7,1,18,4,2,1,4,2,,1.0,1.0,
304,02070101804,2,7,1,18,4,2,1,5,2,,1.0,1.0,
305,02070101804,2,7,1,18,4,2,1,6,2,,1.0,1.0,
306,02070101804,2,7,1,18,4,2,1,7,2,,1.0,1.0,
307,02070101804,2,7,1,18,4,2,1,8,2,,1.0,1.0,
308,02070101804,2,7,1,18,4,2,1,9,2,,1.0,1.0,
309,02070101804,2,7,1,18,4,2,1,10,2,,1.0,1.0,
310,02070101804,2,7,1,18,4,2,1,11,2,,1.0,1.0,
311,02070101804,2,7,1,18,4,2,1,12,2,,1.0,1.0,
312,02070101804,2,7,1,18,4,2,1,13,2,,1.0,1.0,
313,02070101804,2,7,1,18,4,2,1,14,2,,1.0,1.0,
314,02070101804,2,7,1,18,4,2,1,15,1,1.0,,,1.0
315,02070101804,2,7,1,18,4,2,1,16,2,,1.0,1.0,
316,02070101804,2,7,1,18,4,2,1,17,2,,1.0,1.0,
317,02070101804,2,7,1,18,4,2,1,18,2,,1.0,1.0,
318,02070101804,2,7,1,18,4,2,1,19,2,,1.0,1.0,
319,02070101804,2,7,1,18,4,2,1,20,2,,1.0,1.0,
320,02070101901,2,7,1,19,1,2,2,1,2,,2.0,1.0,
321,02070101901,2,7,1,19,1,2,2,2,2,,2.0,1.0,
322,02070101901,2,7,1,19,1,2,2,3,2,,2.0,1.0,
323,02070101901,2,7,1,19,1,2,2,4,2,,2.0,1.0,
