,HHID,H2,H3,H4,H5,H6,H7,H8,H9,H12,H13,H14,H14_unit,H15,C2
447,01010301101052,11,2,,,,,,,,,,,,1
448,01010301101052,12,2,,,,,,,,,,,,1
449,01010301101052,13,2,,,,,,,,,,,,1
450,01010301101052,14,1,1.0,,,,,,10.0,15.0,43.0,15.0,15.0,1
451,01010301101052,15,2,,,,,,,,,,,,1
452,01010301101052,16,2,,,,,,,,,,,,1
453,01010301101052,17,2,,,,,,,,,,,,1
454,01010301101052,18,2,,,,,,,,,,,,1
455,01010301101052,19,2,,,,,,,,,,,,1
456,01010400404008,1,2,,,,,,,,,,,,2
457,01010400404008,2,2,,,,,,,,,,,,2
458,01010400404008,3,1,,1.0,,1.0,,11.0,3.0,3.0,12.0,3.0,0.0,2
459,01010400404008,4,1,,,,,,,12.0,1.0,50.0,3.0,0.0,2
460,01010400404008,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,2
461,01010400404008,6,2,,,,,,,,,,,,2
462,01010400404008,7,2,,,,,,,,,,,,2
463,01010400404008,8,2,,,,,,,,,,,,2
464,01010400404008,9,2,,,,,,,,,,,,2
465,01010400404008,10,2,,,,,,,,,,,,2
466,01010400404008,11,2,,,,,,,,,,,,2
467,01010400404008,12,2,,,,,,,,,,,,2
468,01010400404008,13,2,,,,,,,,,,,,2
469,01010400404008,14,2,,,,,,,,,,,,2
470,01010400404008,15,2,,,,,,,,,,,,2
471,01010400404008,16,2,,,,,,,,,,,,2
472,01010400404008,17,2,,,,,,,,,,,,2
473,01010400404008,18,2,,,,,,,,,,,,2
474,01010400404008,19,2,,,,,,,,,,,,2
475,01010400404027,1,2,,,,,,,,,,,,2
