,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H14_w,H14_t,H15_w,H15_t,H16_w,H16_t,H17_w,H17_t,H18,H21_mm,H21_yy,H19,H20_first,H20_second,H21,H22,H23,H24,H25,H26
96,04290500106,4,29,5,1,6,1,6,1,,,,,60.0,-888.0,1.0,1860.0,0.0,2.0,,,,24.0,,4.0,,1.0,1.0,1.0,2009.0,2.0,2.0,8.0,4.0,3.0,2.0,5.0,2,
97,04291500905,4,29,15,9,5,2,5,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10.0
98,04291501302,4,29,15,13,2,2,2,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
99,04291501302,4,29,15,13,2,2,3,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
100,04291801901,4,29,18,19,1,2,1,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
101,04292500402,4,29,25,4,2,1,4,1,,,,,20.0,56000.0,3.0,3000.0,0.0,2.0,,,,24.0,,4.0,,1.0,2.0,,,,8.0,1.0,4.0,2.0,1.0,2.0,2,
102,04300400106,4,30,4,1,6,1,2,1,,,,,4.0,5000.0,1.0,200.0,20.0,2.0,,,,20.0,,3.0,,2.0,1.0,5.0,2009.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2,
103,04300800105,4,30,8,1,5,2,5,3,555.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
104,04301301004,4,30,13,10,4,2,4,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,70.0
105,04311103311,4,31,11,33,11,2,10,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,70.0
106,04311200105,4,31,12,1,5,1,10,1,,,,,10.0,0.0,2.0,300.0,50.0,1.0,2.0,2.0,10.0,22.0,2.0,4.0,2.0,1.0,1.0,2.0,2009.0,60.0,1.0,2.0,4.0,2.0,2.0,4.0,1,75.0
107,04320400608,4,32,4,6,8,2,3,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
108,04320400608,4,32,4,6,8,2,8,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
109,04320501610,4,32,5,16,10,2,10,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
110,04320501610,4,32,5,16,10,2,11,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
111,04320600302,4,32,6,3,2,2,2,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
112,04321200208,4,32,12,2,8,1,2,1,,,,,20.0,550000.0,3.0,1000.0,0.0,1.0,2.0,2.0,24.0,24.0,4.0,4.0,1.0,1.0,1.0,2.0,2009.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2,
113,04321600405,4,32,16,4,5,2,5,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
114,04321801602,4,32,18,16,2,2,3,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
115,04330600803,4,33,6,8,3,2,6,1,,,,,5.0,100000.0,4.0,200.0,1.0,1.0,2.0,2.0,10.0,15.0,1.0,2.0,2.0,2.0,1.0,8.0,2008.0,1.0,1.0,3.0,3.0,2.0,1.0,4.0,2,
116,04330801809,4,33,8,18,9,2,7,3,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
117,04331100203,4,33,11,2,3,2,3,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
118,04331301403,4,33,13,14,3,2,5,3,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
119,04340300103,4,34,3,1,3,1,1,1,,,,,25.0,-888.0,4.0,300.0,6.0,2.0,,,,24.0,,4.0,,1.0,1.0,6.0,2009.0,3.0,8.0,,4.0,3.0,2.0,4.0,2,
120,04340900114,4,34,9,1,14,1,2,1,,,,,28.0,515000.0,2.0,2000.0,0.0,1.0,2.0,2.0,24.0,24.0,4.0,4.0,1.0,1.0,1.0,12.0,2009.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2,
121,04350204302,4,35,2,43,2,2,4,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
122,04360100202,4,36,1,2,2,1,2,1,,,,,20.0,-888.0,3.0,3000.0,30.0,1.0,2.0,2.0,24.0,24.0,4.0,4.0,1.0,1.0,1.0,12.0,2009.0,4.0,8.0,1.0,2.0,1.0,2.0,2.0,2,
123,04360100202,4,36,1,2,2,1,8,1,,,,,-888.0,100000.0,3.0,1213.0,0.0,2.0,,,,24.0,,4.0,,1.0,2.0,,,,2.0,1.0,4.0,2.0,2.0,3.0,2,
124,04360100513,4,36,1,5,13,1,5,1,,,,,-888.0,-888.0,3.0,3500.0,0.0,1.0,2.0,2.0,24.0,24.0,4.0,4.0,1.0,1.0,1.0,9.0,2009.0,3.0,8.0,3.0,4.0,2.0,2.0,4.0,2,
