,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Facility,K4,K5,K6,K7,K10,K11,K12,K13,K15,K16_am,K17_pm,K18,K19,K20,K21,K22,K23,K24,K25,K26_hour,K26_minute,K27,K28,K29,K30,K31,K32_c,K32_u,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,K55,K56,K57
368,07630102501,7,63,1,25,1,2,15,3,1,5,8.0,3.0,15,6,21.0,,,         3,        11,2,7.0,,0.0,2,1.0,,,,,,2,1.0,8.0,38.0,10.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
369,07540700315,7,54,7,3,15,1,3,2,2,6,3.0,8.0,7,30,40.0,,,         2,        11,1,,1.0,8.0,2,3.0,1.0,2.0,2.0,30.0,3.0,2,3.0,3.0,100.0,0.5,1.0,1.0,,,,,,,,,,,,2,2,3,1,4.0,3.0,2,2,,,,,
370,07550200101,7,55,2,1,1,2,16,1,1,6,1.0,4.0,1,44,2080.0,,,         2,        11,1,,1.0,6.0,2,2.0,1.0,18.0,6.0,0.0,2.0,2,1.0,1.0,40.0,0.27,1.0,2.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
371,07530300603,7,53,3,6,3,2,1,1,1,6,1.0,1.0,1,15,721.0,,,         2,        11,1,,5.0,2.0,2,3.0,2.0,,,,,1,,,,,,,2008.0,1.0,2.0,,250.0,1.0,2.0,1.0,5.0,1.0,1.0,2,2,3,2,,3.0,2,2,,,,,
372,04240101704,4,24,1,17,4,2,1,3,1,6,1.0,5.0,1,34,1414.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,555.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
373,07551300206,7,55,13,2,6,1,1,1,1,6,8.0,8.0,12,30,30.0,,,         2,        11,1,,1.0,12.0,1,,1.0,2.0,2.0,35.0,2.0,2,3.0,3.0,1500.0,200.0,1.0,1.0,,,,,,,,,,,,1,1,3,1,5.0,3.0,2,2,,,,,
374,04390300402,4,39,3,4,2,2,1,4,1,2,10.0,3.0,12,3,15.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,2,2,,7.0,2,2,,,,,
375,04321600405,4,32,16,4,5,2,5,2,2,2,2.0,6.0,12,35,254.0,,,         2,        11,2,1.0,,0.0,2,1.0,,,,,,2,1.0,2.0,1996.0,25.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
376,13700100901,13,70,1,9,1,1,2,2,2,6,15.0,2.0,10,1,5.0,,,         2,        11,1,,1.0,5.0,1,,1.0,15.0,12.0,0.0,2.0,2,2.0,1.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,2,2,2,2,,2.0,2,2,,,,,
377,03180302503,3,18,3,25,3,2,14,1,1,5,1.0,3.0,1,25,800.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,,,-888.0,-888.0,,2.0,,,,,,,,,,,,2,2,3,2,,,2,2,,,,,
378,03150800103,3,15,8,1,3,1,1,1,1,6,8.0,3.0,12,11,35.0,,,         2,        11,1,,1.0,9.0,2,2.0,1.0,5.0,3.0,30.0,3.0,2,1.0,1.0,100.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
379,03180100101,3,18,1,1,1,1,1,1,1,4,1.0,3.0,1,43,1200.0,,,         2,        11,1,,1.0,24.0,2,2.0,1.0,4.0,1.0,45.0,2.0,2,1.0,1.0,120.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,1.0,2,2,,,,,
380,12670500701,12,67,5,7,1,2,1,3,1,6,1.0,3.0,1,13,581.0,,,         2,        11,1,,1.0,4.0,2,888.0,1.0,30.0,12.0,0.0,3.0,2,2.0,1.0,60.0,1.0,1.0,1.0,,,,,,,,,,,,2,2,3,2,,6.0,2,2,,,,,
381,03121000302,3,12,10,3,2,1,2,4,1,6,8.0,10.0,4,15,20.0,,,         2,        11,1,,1.0,15.0,2,2.0,1.0,2.0,2.0,30.0,2.0,2,3.0,,,,,1.0,,,,,,,,,,,,1,2,3,1,3.0,3.0,2,2,,,,,
382,04230200302,4,23,2,3,2,2,1,2,1,6,8.0,9.0,12,5,5.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,6.0,2,2,,,,,
383,03180700305,3,18,7,3,5,1,1,4,1,5,8.0,6.0,12,5,10.0,,,         2,        11,1,,1.0,8.0,2,2.0,1.0,2.0,0.0,25.0,2.0,2,1.0,1.0,175.0,0.27,1.0,1.0,,,,,,,,,,,,2,2,3,2,,6.0,2,2,,,,,
384,04240602203,4,24,6,22,3,2,1,1,1,5,8.0,7.0,12,2,7.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
385,13700101407,13,70,1,14,7,1,1,4,1,3,8.0,1.0,2,6,35.0,,,         2,        11,1,,1.0,7.0,1,3.0,1.0,6.0,1.0,30.0,3.0,2,1.0,1.0,95.0,1.0,1.0,2.0,,,,,,,,,,,,1,2,3,2,,2.0,2,2,,,,,
386,04300800105,4,30,8,1,5,2,8,2,1,6,8.0,5.0,12,23,10.0,,,         2,        11,1,,1.0,8.0,2,1.0,1.0,3.0,2.0,30.0,1.0,2,555.0,555.0,85.0,20.0,1.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
387,04261701902,4,26,17,19,2,2,1,2,1,6,1.0,5.0,1,8,520.0,,,         2,        11,2,7.0,,1.0,2,1.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,6.0,2,2,,,,,
388,03180201302,3,18,2,13,2,2,13,1,1,5,1.0,7.0,1,15,520.0,,,         2,        11,1,,4.0,12.0,1,,2.0,,,,,1,,,,,,,2007.0,2.0,2.0,,-888.0,3.0,2.0,3.0,1.0,2.0,3.0,1,2,3,2,,1.0,1,2,,,,,
389,07570901802,7,57,9,18,2,2,1,1,1,3,8.0,1.0,12,5,20.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,555.0,8.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
390,03152000705,3,15,20,7,5,1,1,4,1,2,13.0,15.0,11,4,10.0,,,         2,        11,1,,1.0,8.0,2,2.0,1.0,3.0,1.0,0.0,2.0,2,1.0,1.0,80.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
