,HHID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,HI_7new,HI_14,eaid,A0,zone_csa,wereda_name
197,01060200506059,1,6,2,5,6,1,59,31/01/17,1060210100506.0,8,6,SEMEN MEKELE/TOWN/-WEREDA
198,01060200506070,1,6,2,5,6,1,70,31/01/17,1060210100506.0,4,6,SEMEN MEKELE/TOWN/-WEREDA
199,01060200506081,1,6,2,5,6,1,81,31/01/17,1060210100506.0,4,6,SEMEN MEKELE/TOWN/-WEREDA
200,01060200506092,1,6,2,5,6,1,92,01/02/17,1060210100506.0,4,6,SEMEN MEKELE/TOWN/-WEREDA
201,01060200506103,1,6,2,5,6,1,103,01/02/17,1060210100506.0,5,6,SEMEN MEKELE/TOWN/-WEREDA
202,01060200506114,1,6,2,5,6,1,114,01/02/17,1060210100506.0,3,6,SEMEN MEKELE/TOWN/-WEREDA
203,01060200506125,1,6,2,5,6,1,125,01/02/17,1060210100506.0,4,6,SEMEN MEKELE/TOWN/-WEREDA
204,02070101804001,2,7,1,18,4,2,1,25/01/17,2010188801804.0,4,1,DUBTI
205,02070101804011,2,7,1,18,4,2,11,25/01/17,2010188801804.0,4,1,DUBTI
206,02070101804021,2,7,1,18,4,2,21,25/01/17,2010188801804.0,5,1,DUBTI
207,02070101804031,2,7,1,18,4,2,31,25/01/17,2010188801804.0,4,1,DUBTI
208,02070101804041,2,7,1,18,4,2,41,25/01/17,2010188801804.0,5,1,DUBTI
209,02070101804051,2,7,1,18,4,2,51,25/01/17,2010188801804.0,6,1,DUBTI
210,02070101804061,2,7,1,18,4,2,61,25/01/17,2010188801804.0,3,1,DUBTI
211,02070101804071,2,7,1,18,4,2,71,25/01/17,2010188801804.0,3,1,DUBTI
212,02070101804081,2,7,1,18,4,2,81,25/01/17,2010188801804.0,6,1,DUBTI
213,02070101804091,2,7,1,18,4,2,91,25/01/17,2010188801804.0,4,1,DUBTI
214,02070101804101,2,7,1,18,4,2,101,25/01/17,2010188801804.0,5,1,DUBTI
215,02070101804111,2,7,1,18,4,2,111,25/01/17,2010188801804.0,6,1,DUBTI
216,02070101901002,2,7,1,19,1,2,2,25/01/17,2010188801901.0,2,1,DUBTI
217,02070101901014,2,7,1,19,1,2,14,25/01/17,2010188801901.0,2,1,DUBTI
218,02070101901026,2,7,1,19,1,2,26,25/01/17,2010188801901.0,3,1,DUBTI
219,02070101901038,2,7,1,19,1,2,38,26/01/17,2010188801901.0,2,1,DUBTI
220,02070101901050,2,7,1,19,1,2,50,26/01/17,2010188801901.0,5,1,DUBTI
221,02070101901062,2,7,1,19,1,2,62,26/01/17,2010188801901.0,6,1,DUBTI
222,02070101901074,2,7,1,19,1,2,74,26/01/17,2010188801901.0,2,1,DUBTI
223,02070101901086,2,7,1,19,1,2,86,26/01/17,2010188801901.0,4,1,DUBTI
224,02070101901098,2,7,1,19,1,2,98,26/01/17,2010188801901.0,5,1,DUBTI
225,02070101901110,2,7,1,19,1,2,110,26/01/17,2010188801901.0,4,1,DUBTI
226,02070101901122,2,7,1,19,1,2,122,26/01/17,2010188801901.0,3,1,DUBTI
227,02070101901134,2,7,1,19,1,2,134,26/01/17,2010188801901.0,4,1,DUBTI
228,02070200101003,2,7,2,1,1,1,3,06/02/17,2010240100101.0,3,1,ELIDAR
229,02070200101011,2,7,2,1,1,1,11,08/02/17,2010240100101.0,3,1,ELIDAR
230,02070200101019,2,7,2,1,1,1,19,05/02/17,2010240100101.0,4,1,ELIDAR
231,02070200101027,2,7,2,1,1,1,27,05/02/17,2010240100101.0,7,1,ELIDAR
232,02070200101035,2,7,2,1,1,1,35,05/02/17,2010240100101.0,8,1,ELIDAR
233,02070200101043,2,7,2,1,1,1,43,05/02/17,2010240100101.0,4,1,ELIDAR
234,02070200101051,2,7,2,1,1,1,51,05/02/17,2010240100101.0,4,1,ELIDAR
235,02070200101059,2,7,2,1,1,1,59,08/02/17,2010240100101.0,6,1,ELIDAR
236,02070200101067,2,7,2,1,1,1,67,08/02/17,2010240100101.0,4,1,ELIDAR
237,02070200101075,2,7,2,1,1,1,75,08/02/17,2010240100101.0,5,1,ELIDAR
238,02070200101083,2,7,2,1,1,1,83,08/02/17,2010240100101.0,2,1,ELIDAR
239,02070200101091,2,7,2,1,1,1,91,08/02/17,2010240100101.0,4,1,ELIDAR
240,02070300104005,2,7,3,1,4,1,5,25/01/17,2010310100104.0,4,1,ASAETA
241,02070300104016,2,7,3,1,4,1,16,25/01/17,2010310100104.0,4,1,ASAETA
242,02070300104027,2,7,3,1,4,1,27,25/01/17,2010310100104.0,5,1,ASAETA
243,02070300104038,2,7,3,1,4,1,38,25/01/17,2010310100104.0,5,1,ASAETA
244,02070300104049,2,7,3,1,4,1,49,25/01/17,2010310100104.0,4,1,ASAETA
245,02070300104060,2,7,3,1,4,1,60,25/01/17,2010310100104.0,5,1,ASAETA
246,02070300104071,2,7,3,1,4,1,71,25/01/17,2010310100104.0,2,1,ASAETA
247,02070300104082,2,7,3,1,4,1,82,26/01/17,2010310100104.0,3,1,ASAETA
248,02070300104093,2,7,3,1,4,1,93,26/01/17,2010310100104.0,4,1,ASAETA
249,02070300104104,2,7,3,1,4,1,104,26/01/17,2010310100104.0,3,1,ASAETA
250,02070300104115,2,7,3,1,4,1,115,26/01/17,2010310100104.0,1,1,ASAETA
251,02070300104126,2,7,3,1,4,1,126,26/01/17,2010310100104.0,1,1,ASAETA
252,02070300111005,2,7,3,1,11,1,5,28/01/17,2010310100111.0,4,1,ASAETA
253,02070300111015,2,7,3,1,11,1,15,28/01/17,2010310100111.0,3,1,ASAETA
254,02070300111025,2,7,3,1,11,1,25,28/01/17,2010310100111.0,5,1,ASAETA
255,02070300111035,2,7,3,1,11,1,35,28/01/17,2010310100111.0,3,1,ASAETA
256,02070300111045,2,7,3,1,11,1,45,28/01/17,2010310100111.0,3,1,ASAETA
257,02070300111055,2,7,3,1,11,1,55,28/01/17,2010310100111.0,3,1,ASAETA
258,02070300111065,2,7,3,1,11,1,65,28/01/17,2010310100111.0,5,1,ASAETA
